name,,club,age,height,weight,wingspan,length,bmi,off_pos,def_pos,headshot,logo
Michael Ajayi,M. Ajayi,Pepperdine,21,"6'5.75""",228 lbs,"7'0.75""",7,26.5,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5176517.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2492.png
Nae'Qwan Tomlin,N. Tomlin,Memphis,23.4,"6'8.25""",205 lbs,"7'2.5""",6.25,22.4,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106268.png,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png
N'Faly Dante,N. Dante,Oregon,22.7,"6'10""",260 lbs,"7'6""",8,27.2,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592401.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
Nique Clifford,N. Clifford,Colorado St,22.3,"6'5""",199 lbs,"6'8""",3,23.6,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702384.png,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png
Oso Ighodaro,O. Ighodaro,Marquette,21.9,"6'9.5""",222 lbs,"6'11""",1.5,23.5,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4601023.png,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png
Payton Sandfort,P. Sandfort,Iowa,21.9,"6'6.25""",212 lbs,"6'10""",3.75,24.3,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4697270.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
Pelle Larsson,P. Larsson,Arizona,23.3,"6'5.25""",212 lbs,"6'7.5""",2.25,25,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4601025.png,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
PJ Hall,P. Hall,Clemson,22.3,"6'8.25""",240 lbs,"7'1.5""",5.25,26.2,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4701225.png,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png
Quinten Post,Q. Post,Boston College,24.2,"7'0""",244 lbs,"7'2.5""",2.5,24.3,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4593016.png,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png
Reece Beekman,R. Beekman,Virginia,22.7,"6'1.25""",196 lbs,"6'6.5""",5.25,25.7,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432187.png,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png
Trentyn Flowers,T. Flowers,Adelaide,19.3,"6'6.5""",201 lbs,"6'8.25""",1.75,22.9,,,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5165257.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Adelaide_36ers_logo.svg/800px-Adelaide_36ers_logo.svg.png
Tristen Newton,T. Newton,UConn,23.1,"6'3.25""",192 lbs,"6'6.75""",3.5,23.8,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592965.png,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png
Tyler Kolek,T. Kolek,Marquette,23.2,"6'1.25""",197 lbs,"6'2.75""",1.5,25.8,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433225.png,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png
Tyler Smith,T. Smith,G League Ignite,19.6,"6'9""",224 lbs,"7'1""",4,24,,,https://res.cloudinary.com/djcqmdgda/image/upload/nba/prospects/headshots/108213.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/NBA_G_League_Ignite_logo_%282022%29.svg/1200px-NBA_G_League_Ignite_logo_%282022%29.svg.png
Tyon Grant-Foster,T. Grant-Foster,Grand Canyon,24.3,"6'5.75""",215 lbs,"6'11.75""",6,25,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4700527.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2253.png
Ulrich Chomche,U. Chomche,APR,18.5,"6'10.25""",232 lbs,"7'4""",5.75,24.1,,,https://res.cloudinary.com/djcqmdgda/image/upload/nba/prospects/headshots/108340.png,https://upload.wikimedia.org/wikipedia/en/c/c0/Arm%C3%A9e_Patriotique_Rwandaise_BC_logo.png
Yves Missi,Y. Missi,Baylor,20.1,"6'10.75""",229 lbs,"7'2""",3.25,23.5,,,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5061589.png,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png
